id,a,b,mu,sigma2,depthRange,count,x,tau2,depTau
1036,13.204343,14.133712,0.641016,0.000188,1.421644,6,0.646465,0.000218,0.035294
1039,13.019160,14.123614,0.695981,0.000285,1.496184,6,0.700907,0.000349,0.038023
1042,12.420635,14.209490,0.650531,0.000350,1.461251,5,0.661026,0.000290,0.038915
1044,12.115385,14.181907,0.611170,0.000594,1.431513,5,0.622443,0.000444,0.054316
1045,11.653598,14.298738,0.601800,0.000924,1.247200,4,0.607159,0.000654,0.069226
1048,10.930255,14.439552,0.624063,0.003651,1.518408,3,0.646995,0.000602,0.058547
1049,11.517103,14.297437,0.699377,0.001423,1.593050,4,0.719713,0.000605,0.047425
1052,10.394172,14.644860,0.710070,0.019936,1.663240,2,0.734261,0.001834,0.079162
1055,10.148619,14.832021,0.635575,0.031516,1.425470,1,0.607021,0.001957,0.119428
982,29.107721,13.546534,0.591919,0.000007,1.263578,25,0.592857,0.000064,0.022689
983,27.799868,13.616533,0.526823,0.000005,1.303054,24,0.523334,0.000033,0.021064
1001,27.386217,14.149559,0.610086,0.000006,1.293151,24,0.612977,0.000043,0.017528
1018,17.391518,13.958546,0.697168,0.000039,1.445970,11,0.696970,0.000129,0.023413
1021,17.431087,13.966272,0.708950,0.000045,1.434026,11,0.710345,0.000162,0.025242
1027,15.327608,13.947409,0.676894,0.000068,1.454491,9,0.682479,0.000136,0.025006
1035,14.762857,14.038853,0.730564,0.000105,1.536572,8,0.736945,0.000223,0.027497
1039,13.887431,14.079853,0.698096,0.000163,1.496184,7,0.707334,0.000281,0.033510
1042,13.272305,14.157290,0.655976,0.000170,1.461251,6,0.671610,0.000222,0.033038
1044,12.929178,14.115801,0.617197,0.000279,1.431513,6,0.633372,0.000341,0.046014
1045,12.406494,14.208714,0.604656,0.000432,1.247200,5,0.611606,0.000510,0.060295
1048,11.588135,14.310761,0.641160,0.000973,1.518408,4,0.668197,0.000426,0.046193
1052,10.830158,14.454764,0.726884,0.006169,1.663240,3,0.760566,0.001075,0.056564
1055,10.450183,14.628215,0.617360,0.011569,1.425470,2,0.633177,0.001137,0.083852
1059,10.000000,15.000000,0.836355,0.077721,1.672709,0,0.846551,0.034558,0.247967
982,30.074663,13.542902,0.592014,0.000007,1.263578,26,0.593423,0.000061,0.022240
983,28.771828,13.613271,0.526365,0.000004,1.303054,25,0.524353,0.000031,0.020305
1001,28.355585,14.145671,0.610435,0.000005,1.293151,25,0.614402,0.000041,0.017015
1018,18.332224,13.944700,0.697123,0.000030,1.445970,12,0.700173,0.000116,0.021957
1027,16.252697,13.927000,0.678709,0.000046,1.454491,10,0.687382,0.000114,0.022578
1035,15.672340,14.012935,0.732551,0.000073,1.536572,9,0.741197,0.000192,0.025188
1039,14.772450,14.044507,0.701355,0.000106,1.496184,8,0.711393,0.000235,0.030279
1042,14.132640,14.112054,0.662426,0.000102,1.461251,7,0.677738,0.000177,0.028961
1044,13.766984,14.062363,0.624065,0.000163,1.431513,7,0.641070,0.000274,0.040280
1045,13.213695,14.142306,0.607629,0.000248,1.247200,6,0.614983,0.000417,0.053962
1048,12.341134,14.220074,0.658268,0.000386,1.518408,5,0.681434,0.000318,0.038390
1052,11.432712,14.309064,0.751088,0.001844,1.663240,4,0.773474,0.000714,0.044622
1055,10.927649,14.445672,0.628610,0.003376,1.425470,3,0.646503,0.000748,0.065318
1057,10.000000,15.000000,0.714998,0.056803,1.429997,0,0.778067,0.007245,0.138955
1059,10.157561,14.827280,0.840380,0.047053,1.672709,1,0.841842,0.006871,0.115853
982,31.042355,13.539457,0.592148,0.000006,1.263578,27,0.593945,0.000059,0.021816
983,29.747698,13.610556,0.526118,0.000004,1.303054,26,0.525425,0.000029,0.019624
1001,29.323677,14.141770,0.610882,0.000005,1.293151,26,0.615825,0.000039,0.016549
1018,19.276951,13.932652,0.697745,0.000024,1.445970,13,0.703730,0.000105,0.020711
1027,17.177799,13.908108,0.681137,0.000033,1.454491,11,0.693082,0.000098,0.020593
1035,16.587467,13.990366,0.734865,0.000053,1.536572,10,0.745713,0.000168,0.023314
1039,15.669948,14.015285,0.704369,0.000074,1.496184,9,0.715934,0.000202,0.027690
